trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9998000066665778}",25,0,-242.39317472070482,"{0: 10, 1: 4, 2: 6, 3: 1, 4: 4}",0
2,False,"{'a': 0.01, 'e': 0.9995500337489875}",25,0,-100.9828198043872,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9992001066609779}",25,0,-87.62405165341073,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9987502603949663}",25,0,-147.85066095860668,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.9982005399352042}",25,0,-93.8854802392409,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-88.69737105564583,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9968017063026194}",25,0,-99.77613485944528,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9959527330119943}",25,0,-134.03571382118574,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9950041652780258}",30,0,-181.31742301711225,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.9939560979566968}",30,21,-16.380544053911887,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-66.89527644341463,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.9915618937147881}",25,0,-126.85328221019559,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-14.06486171603419,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.01, 'e': 0.9887710779360422}",35,0,-99.38994455304596,"{0: 22, 1: 6, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.9872272833756269}",25,0,-44.57353656661547,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.9855847669095608}",35,0,-181.36462429181833,"{0: 22, 1: 5, 2: 4, 3: 1, 4: 3}",0
17,False,"{'a': 0.01, 'e': 0.9838436927881214}",25,4,-177.73487296702316,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 3}",1
18,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,2,-129.45190750078876,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 2}",1
19,False,"{'a': 0.01, 'e': 0.9800665778412416}",20,0,-93.2144257204874,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
20,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,0,-51.014283524151494,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
21,False,"{'a': 0.01, 'e': 0.9758974493306055}",35,0,-243.2696554815789,"{0: 20, 1: 5, 2: 5, 3: 1, 4: 4}",0
22,False,"{'a': 0.01, 'e': 0.9736663950053749}",25,19,9.737999272804375,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.01, 'e': 0.9713379748520297}",25,0,-125.59745621434573,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
24,False,"{'a': 0.01, 'e': 0.9689124217106447}",25,0,-160.4182199605745,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
25,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-34.952481935965935,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
26,False,"{'a': 0.01, 'e': 0.9637708963658905}",25,0,-146.85767137712065,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
27,False,"{'a': 0.01, 'e': 0.9610554383107709}",20,0,-106.08862148862929,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
28,False,"{'a': 0.01, 'e': 0.9582438755126972}",25,0,-91.67867249820438,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
29,False,"{'a': 0.01, 'e': 0.955336489125606}",25,0,-86.9051256773815,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
30,False,"{'a': 0.01, 'e': 0.9523335698857134}",30,5,-157.09281860419037,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",1
